file,class,method,variable,usage
C:\DEVELOP\UNI\software_engineering\software-engineering\Assignment2\assignment\src\main\java\softwareeng\App.java,softwareeng.App,main/1[java.lang.String[]],args,0
C:\DEVELOP\UNI\software_engineering\software-engineering\Assignment2\assignment\src\main\java\softwareeng\App.java,softwareeng.App,main/1[java.lang.String[]],res,2
C:\DEVELOP\UNI\software_engineering\software-engineering\Assignment2\assignment\src\main\java\softwareeng\App.java,softwareeng.App,main/1[java.lang.String[]],solver,1
C:\DEVELOP\UNI\software_engineering\software-engineering\Assignment2\assignment\src\main\java\softwareeng\EquationSolver.java,softwareeng.EquationSolver,"aux/3[double,double,double]",b2,1
C:\DEVELOP\UNI\software_engineering\software-engineering\Assignment2\assignment\src\main\java\softwareeng\EquationSolver.java,softwareeng.EquationSolver,"aux/3[double,double,double]",a,1
C:\DEVELOP\UNI\software_engineering\software-engineering\Assignment2\assignment\src\main\java\softwareeng\EquationSolver.java,softwareeng.EquationSolver,"aux/3[double,double,double]",b,1
C:\DEVELOP\UNI\software_engineering\software-engineering\Assignment2\assignment\src\main\java\softwareeng\EquationSolver.java,softwareeng.EquationSolver,"aux/3[double,double,double]",c,1
C:\DEVELOP\UNI\software_engineering\software-engineering\Assignment2\assignment\src\main\java\softwareeng\EquationSolver.java,softwareeng.EquationSolver,"aux/3[double,double,double]",ac4,1
C:\DEVELOP\UNI\software_engineering\software-engineering\Assignment2\assignment\src\main\java\softwareeng\EquationSolver.java,softwareeng.EquationSolver,"aux/3[double,double,double]",raiz,2
C:\DEVELOP\UNI\software_engineering\software-engineering\Assignment2\assignment\src\main\java\softwareeng\EquationSolver.java,softwareeng.EquationSolver,"calculate/3[double,double,double]",result,3
C:\DEVELOP\UNI\software_engineering\software-engineering\Assignment2\assignment\src\main\java\softwareeng\EquationSolver.java,softwareeng.EquationSolver,"calculate/3[double,double,double]",a,5
C:\DEVELOP\UNI\software_engineering\software-engineering\Assignment2\assignment\src\main\java\softwareeng\EquationSolver.java,softwareeng.EquationSolver,"calculate/3[double,double,double]",b,4
C:\DEVELOP\UNI\software_engineering\software-engineering\Assignment2\assignment\src\main\java\softwareeng\EquationSolver.java,softwareeng.EquationSolver,"calculate/3[double,double,double]",c,2
C:\DEVELOP\UNI\software_engineering\software-engineering\Assignment2\assignment\src\main\java\softwareeng\EquationSolver.java,softwareeng.EquationSolver,"calculate/3[double,double,double]",resultPositivo,2
C:\DEVELOP\UNI\software_engineering\software-engineering\Assignment2\assignment\src\main\java\softwareeng\EquationSolver.java,softwareeng.EquationSolver,"calculate/3[double,double,double]",raiz,2
C:\DEVELOP\UNI\software_engineering\software-engineering\Assignment2\assignment\src\main\java\softwareeng\EquationSolver.java,softwareeng.EquationSolver,"calculate/3[double,double,double]",resultNegativo,2
C:\DEVELOP\UNI\software_engineering\software-engineering\Assignment2\assignment\src\test\java\softwareeng\EquationSolverTest.java,softwareeng.EquationSolverTest,caluclateWithMockWhenAuxReturn0/0,a,1
C:\DEVELOP\UNI\software_engineering\software-engineering\Assignment2\assignment\src\test\java\softwareeng\EquationSolverTest.java,softwareeng.EquationSolverTest,caluclateWithMockWhenAuxReturn0/0,res,2
C:\DEVELOP\UNI\software_engineering\software-engineering\Assignment2\assignment\src\test\java\softwareeng\EquationSolverTest.java,softwareeng.EquationSolverTest,caluclateWithMockWhenAuxReturn0/0,b,1
C:\DEVELOP\UNI\software_engineering\software-engineering\Assignment2\assignment\src\test\java\softwareeng\EquationSolverTest.java,softwareeng.EquationSolverTest,caluclateWithMockWhenAuxReturn0/0,c,1
C:\DEVELOP\UNI\software_engineering\software-engineering\Assignment2\assignment\src\test\java\softwareeng\EquationSolverTest.java,softwareeng.EquationSolverTest,caluclateWithMockWhenAuxReturn0/0,resultNeg,1
C:\DEVELOP\UNI\software_engineering\software-engineering\Assignment2\assignment\src\test\java\softwareeng\EquationSolverTest.java,softwareeng.EquationSolverTest,caluclateWithMockWhenAuxReturn0/0,expectedResultPos,1
C:\DEVELOP\UNI\software_engineering\software-engineering\Assignment2\assignment\src\test\java\softwareeng\EquationSolverTest.java,softwareeng.EquationSolverTest,caluclateWithMockWhenAuxReturn0/0,mockSolver,2
C:\DEVELOP\UNI\software_engineering\software-engineering\Assignment2\assignment\src\test\java\softwareeng\EquationSolverTest.java,softwareeng.EquationSolverTest,caluclateWithMockWhenAuxReturn0/0,resultPos,1
C:\DEVELOP\UNI\software_engineering\software-engineering\Assignment2\assignment\src\test\java\softwareeng\EquationSolverTest.java,softwareeng.EquationSolverTest,caluclateWithMockWhenAuxReturn0/0,expectedResultNeg,1
C:\DEVELOP\UNI\software_engineering\software-engineering\Assignment2\assignment\src\test\java\softwareeng\EquationSolverTest.java,softwareeng.EquationSolverTest,auxOk/0,res,1
C:\DEVELOP\UNI\software_engineering\software-engineering\Assignment2\assignment\src\test\java\softwareeng\EquationSolverTest.java,softwareeng.EquationSolverTest,caluclateOk/0,res,2
C:\DEVELOP\UNI\software_engineering\software-engineering\Assignment2\assignment\src\test\java\softwareeng\EquationSolverTest.java,softwareeng.EquationSolverTest,caluclateOk/0,resultNeg,1
C:\DEVELOP\UNI\software_engineering\software-engineering\Assignment2\assignment\src\test\java\softwareeng\EquationSolverTest.java,softwareeng.EquationSolverTest,caluclateOk/0,resultPos,1
C:\DEVELOP\UNI\software_engineering\software-engineering\Assignment2\assignment\src\test\java\softwareeng\EquationSolverTest.java,softwareeng.EquationSolverTest,auxWhenSqrtIsNegativeRaiseException/0,exception,1
